doc_id,org,year,orig_path,clean_path,orig_encoding,bytes,sha1
d43352160ea181a06194ec10858b5d959de1bec3,UNSC,1993,UNSC_1993.txt,UNSC_1993.txt,utf-8,1296800,d43352160ea181a06194ec10858b5d959de1bec3
13f66491e602d46fdae8ab756242850c6937e122,UNSC,1994,UNSC_1994.txt,UNSC_1994.txt,utf-8,1303960,13f66491e602d46fdae8ab756242850c6937e122
0507d85ef2ae0e96756124bdf47a16441411fe20,UNSC,1995,UNSC_1995.txt,UNSC_1995.txt,utf-8,1096508,0507d85ef2ae0e96756124bdf47a16441411fe20
0b715f3b0a4f4297b0bc5fafe7424fee4f3cb283,UNSC,1996,UNSC_1996.txt,UNSC_1996.txt,utf-8,1062493,0b715f3b0a4f4297b0bc5fafe7424fee4f3cb283
c178f36e99bfd165ff79c58e67d3aca27a058c77,UNSC,1997,UNSC_1997.txt,UNSC_1997.txt,utf-8,1508986,c178f36e99bfd165ff79c58e67d3aca27a058c77
b35df9ef6692798dbc08a0ac886ac306b05971a0,UNSC,1998,UNSC_1998.txt,UNSC_1998.txt,utf-8,589845,b35df9ef6692798dbc08a0ac886ac306b05971a0
4236539bace23cf4d985623698e92b12e48c29f8,UNSC,1999,UNSC_1999.txt,UNSC_1999.txt,utf-8,660704,4236539bace23cf4d985623698e92b12e48c29f8
125f66b8a85fcde2704603a4bccc74ce52012f7f,UNSC,2000,UNSC_2000.txt,UNSC_2000.txt,utf-8,564561,125f66b8a85fcde2704603a4bccc74ce52012f7f
da1ac9d25ca008cba7446fd1e1a9736591f105e7,UNSC,2001,UNSC_2001.txt,UNSC_2001.txt,utf-8,560810,da1ac9d25ca008cba7446fd1e1a9736591f105e7
de0df5198209be313d1d7449d356aec120b55f9e,UNSC,2002,UNSC_2002.txt,UNSC_2002.txt,utf-8,443553,de0df5198209be313d1d7449d356aec120b55f9e
2e0e94480c57d9e9a5b03b76cb6db8d34f059182,UNSC,2003,UNSC_2003.txt,UNSC_2003.txt,utf-8,508095,2e0e94480c57d9e9a5b03b76cb6db8d34f059182
17f3384964d1a5f0c387175c6e9473aa6f16601f,UNSC,2004,UNSC_2004.txt,UNSC_2004.txt,utf-8,537682,17f3384964d1a5f0c387175c6e9473aa6f16601f
f132b4a337794a7be894998e1f957f0a253a8c3d,UNSC,2005,UNSC_2005.txt,UNSC_2005.txt,utf-8,541833,f132b4a337794a7be894998e1f957f0a253a8c3d
a796b401aca623b1266e5a94847e81adb6a754e2,UNSC,2006,UNSC_2006.txt,UNSC_2006.txt,utf-8,586789,a796b401aca623b1266e5a94847e81adb6a754e2
f00a7230c2e02a35bb06c2368f54fe316fe8eec3,UNSC,2007,UNSC_2007.txt,UNSC_2007.txt,utf-8,691362,f00a7230c2e02a35bb06c2368f54fe316fe8eec3
353b97ccdb82e94965206febb11d0d44811e6e54,UNSC,2008,UNSC_2008.txt,UNSC_2008.txt,utf-8,668686,353b97ccdb82e94965206febb11d0d44811e6e54
28f98079b1ba25d346b950ea32403148efab5004,UNSC,2009,UNSC_2009.txt,UNSC_2009.txt,utf-8,505303,28f98079b1ba25d346b950ea32403148efab5004
f931bfe66aa358603594b69c4516f8b120c53a72,UNSC,2010,UNSC_2010.txt,UNSC_2010.txt,utf-8,581425,f931bfe66aa358603594b69c4516f8b120c53a72
efa0e0edf63d6836ac612ceceec9500ba0c45d4c,UNSC,2011,UNSC_2011.txt,UNSC_2011.txt,utf-8,705663,efa0e0edf63d6836ac612ceceec9500ba0c45d4c
9fedb230bb3566f45a4e89b6b8e0f25f747ab0b0,UNSC,2012,UNSC_2012.txt,UNSC_2012.txt,utf-8,708790,9fedb230bb3566f45a4e89b6b8e0f25f747ab0b0
c611aa35ce13b396f47153158b432d755cbcd681,UNSC,2013,UNSC_2013.txt,UNSC_2013.txt,utf-8,785951,c611aa35ce13b396f47153158b432d755cbcd681
fcf2974e03d4e89f8f0e19843166eb5371e68646,UNSC,2014,UNSC_2014.txt,UNSC_2014.txt,utf-8,625748,fcf2974e03d4e89f8f0e19843166eb5371e68646
5d1683488c82b05cd2f4736ca92827e7ccd300d4,UNSC,2016,UNSC_2016.txt,UNSC_2016.txt,utf-8,615388,5d1683488c82b05cd2f4736ca92827e7ccd300d4
4ddf2a3e841d68d33c28bd2a3ee474f783868ddf,UNSC,2017,UNSC_2017.txt,UNSC_2017.txt,utf-8,445602,4ddf2a3e841d68d33c28bd2a3ee474f783868ddf
1bea0f3c6803eee357ac6011b9dcd902ba757aa4,UNSC,2018,UNSC_2018.txt,UNSC_2018.txt,utf-8,440034,1bea0f3c6803eee357ac6011b9dcd902ba757aa4
1eeff24ca2da08bf09bf614507f3f16b1d8c9582,UNSC,2019,UNSC_2019.txt,UNSC_2019.txt,utf-8,382795,1eeff24ca2da08bf09bf614507f3f16b1d8c9582
2acf835a70c0dd165d8d76fb9ad0f14cbbf42b3a,UNSC,2020,UNSC_2020.txt,UNSC_2020.txt,utf-8,444542,2acf835a70c0dd165d8d76fb9ad0f14cbbf42b3a
09b129412fafa73b9f52f122c1dcd7ff79a0accb,UNSC,2021,UNSC_2021.txt,UNSC_2021.txt,utf-8,413571,09b129412fafa73b9f52f122c1dcd7ff79a0accb
67f7a5e43297fcc00e715a7d27630603c94d6353,UNSC,2022,UNSC_2022.txt,UNSC_2022.txt,utf-8,359534,67f7a5e43297fcc00e715a7d27630603c94d6353
7eaa708d2cf1fb499405b26439a6f44a7bcaa895,UNSC,2023,UNSC_2023.txt,UNSC_2023.txt,utf-8,361640,7eaa708d2cf1fb499405b26439a6f44a7bcaa895
5e35b8a28d5066eee7aa52df81a9a78ef55dd017,UNSC,2024,UNSC_2024.txt,UNSC_2024.txt,utf-8,357912,5e35b8a28d5066eee7aa52df81a9a78ef55dd017
e75a3c86af7356e05f6f735cdc1c7fe9e567984f,aupcs,2010,aupcs_2010.txt,aupcs_2010.txt,utf-8,171186,e75a3c86af7356e05f6f735cdc1c7fe9e567984f
346b5abbfc2669bfa759e48145688eb60626499b,aupcs,2012,aupcs_2012.txt,aupcs_2012.txt,utf-8,177209,346b5abbfc2669bfa759e48145688eb60626499b
54513dfc4caa24ece7857016f85e04bea4c5e48b,aupcs,2013,aupcs_2013.txt,aupcs_2013.txt,utf-8,125545,54513dfc4caa24ece7857016f85e04bea4c5e48b
85ff17d898d5db284c1ceaf71c7670008fc40fb0,aupcs,2015,aupcs_2015.txt,aupcs_2015.txt,utf-8,161224,85ff17d898d5db284c1ceaf71c7670008fc40fb0
